"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"2023F","NY","AVTCB"," 69306"," 84034"," 25337"," 22571"," 19146"," 12252"," 7271"," 3268"," 2107"," 1539"," 1255"," 1106"," 923"," 823"," 1086"," 1384"," 1281"," 1374"," 1399"," 1575"," 1618"," 1370"," 998"," 1134"," 955"," 1115"," 1293"," 634"," 526"," 449"," 392"," 328"," 374"," 302"," 498"," 384"," 335"," 342"," 1202"," 425"," 380"," 1257"," 883"," 93"," 1140"," 1387"," 128"," 935"," 776"," 151"," 200"," 217"," 209"," 185"," 344"," 373"," 369"," 395"," 415"," 438"," 372"," 406"," 420"," 399"
"2023F","NY","AVTCP"," 13729"," 16647"," 5019"," 4471"," 3793"," 2427"," 1440"," 647"," 417"," 305"," 249"," 219"," 183"," 163"," 215"," 274"," 254"," 272"," 277"," 312"," 320"," 271"," 198"," 225"," 189"," 221"," 256"," 126"," 104"," 89"," 78"," 65"," 74"," 60"," 99"," 76"," 66"," 68"," 238"," 84"," 75"," 249"," 175"," 18"," 226"," 275"," 25"," 185"," 154"," 30"," 40"," 43"," 41"," 37"," 68"," 74"," 73"," 78"," 82"," 87"," 74"," 80"," 83"," 79"
"2023F","NY","AVTXB"," 69306"," 84034"," 25337"," 22571"," 19146"," 12252"," 7271"," 3268"," 2107"," 1539"," 1255"," 1106"," 923"," 823"," 1086"," 1384"," 1281"," 1374"," 1399"," 1575"," 1618"," 1370"," 998"," 1134"," 955"," 1115"," 1293"," 634"," 526"," 449"," 392"," 328"," 374"," 302"," 498"," 384"," 335"," 342"," 1202"," 425"," 380"," 1257"," 883"," 93"," 1140"," 1387"," 128"," 935"," 776"," 151"," 200"," 217"," 209"," 185"," 344"," 373"," 369"," 395"," 415"," 438"," 372"," 406"," 420"," 399"
"2023F","NY","AVTXP"," 13729"," 16647"," 5019"," 4471"," 3793"," 2427"," 1440"," 647"," 417"," 305"," 249"," 219"," 183"," 163"," 215"," 274"," 254"," 272"," 277"," 312"," 320"," 271"," 198"," 225"," 189"," 221"," 256"," 126"," 104"," 89"," 78"," 65"," 74"," 60"," 99"," 76"," 66"," 68"," 238"," 84"," 75"," 249"," 175"," 18"," 226"," 275"," 25"," 185"," 154"," 30"," 40"," 43"," 41"," 37"," 68"," 74"," 73"," 78"," 82"," 87"," 74"," 80"," 83"," 79"
"2023F","NY","B1ABB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 48"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","B1ABP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","B1ACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 142"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","B1ACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 26"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","B1AUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","NY","B1AUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","NY","B1RIB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 48"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","B1RIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","B1TCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 142"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","B1TCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 26"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","BDABB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 212"," 291"," 852"," 1283"," 2033"," 2060"," 2011"," 2653"," 2550"," 2372"," 2030"," 2003"," 1983"," 2014"," 2441"
"2023F","NY","BDABP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 40"," 54"," 159"," 239"," 379"," 384"," 375"," 495"," 476"," 443"," 379"," 374"," 370"," 376"," 456"
"2023F","NY","BDACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 36"," 57"," 47"," 93"," 315"," 905"," 1226"," 1051"," 1115"," 901"," 3058"," 2957"," 4812"," 4616"," 4698"," 7591"," 6993"," 6180"," 4931"," 5141"," 4660"," 4867"," 6584"
"2023F","NY","BDACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 11"," 9"," 17"," 59"," 169"," 229"," 196"," 208"," 168"," 571"," 552"," 898"," 861"," 877"," 1416"," 1305"," 1153"," 920"," 959"," 870"," 908"," 1229"
"2023F","NY","BDAUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2677"," 2853"," 4143"
"2023F","NY","BDAUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 500"," 532"," 773"
"2023F","NY","BDCBB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 292"," 282"," 309"," 212"," 217"," 584"," 646"," 470"," 675"," 796"," 814"
"2023F","NY","BDCBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 55"," 53"," 58"," 40"," 41"," 109"," 121"," 88"," 126"," 149"," 152"
"2023F","NY","BDCCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 692"," 633"," 723"," 607"," 595"," 1521"," 1569"," 1207"," 1585"," 1925"," 2194"
"2023F","NY","BDCCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 129"," 118"," 135"," 113"," 111"," 284"," 293"," 225"," 296"," 359"," 409"
"2023F","NY","BDCUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 911"," 1128"," 1381"
"2023F","NY","BDCUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 170"," 211"," 258"
"2023F","NY","BDEIB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","BDEIK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","BDEIP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","BDEUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","NY","BDEUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","NY","BDLCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 1"," 7"," 12"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","NY","BDRBB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 577"," 659"," 679"," 407"," 397"," 1346"," 1417"," 986"," 1416"," 1693"," 1731"
"2023F","NY","BDRBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 108"," 123"," 127"," 76"," 74"," 251"," 264"," 184"," 264"," 316"," 323"
"2023F","NY","BDRCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1365"," 1477"," 1586"," 1164"," 1089"," 3507"," 3442"," 2531"," 3327"," 4092"," 4668"
"2023F","NY","BDRCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 255"," 276"," 296"," 217"," 203"," 654"," 642"," 472"," 621"," 764"," 871"
"2023F","NY","BDRIB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 212"," 291"," 852"," 1283"," 2902"," 3002"," 2999"," 3272"," 3165"," 4302"," 4092"," 3459"," 4074"," 4503"," 4985"
"2023F","NY","BDRIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 40"," 54"," 159"," 239"," 542"," 560"," 560"," 611"," 591"," 803"," 764"," 646"," 760"," 840"," 930"
"2023F","NY","BDRUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1911"," 2399"," 2937"
"2023F","NY","BDRUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 357"," 448"," 548"
"2023F","NY","BDSAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1710"," 1221"," 3022",,,,,,,,,,,,
"2023F","NY","BDSAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 319"," 228"," 564",,,,,,,,,,,,
"2023F","NY","BDSUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 5499"," 6380"," 8460"
"2023F","NY","BDSUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1026"," 1191"," 1579"
"2023F","NY","BDTCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 36"," 57"," 47"," 93"," 315"," 905"," 1226"," 1051"," 1115"," 901"," 3058"," 2957"," 6869"," 6725"," 7007"," 9362"," 8677"," 11208"," 9941"," 8880"," 9573"," 10884"," 13445"
"2023F","NY","BDTCK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"
"2023F","NY","BDTCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 11"," 9"," 17"," 59"," 169"," 229"," 196"," 208"," 168"," 571"," 552"," 1282"," 1255"," 1308"," 1747"," 1619"," 2091"," 1855"," 1657"," 1786"," 2031"," 2509"
"2023F","NY","BDTXB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 36"," 57"," 47"," 93"," 315"," 905"," 1226"," 1051"," 1115"," 901"," 3058"," 2957"," 6869"," 6725"," 7007"," 9362"," 8677"," 11208"," 9941"," 8880"," 9573"," 10884"," 13445"
"2023F","NY","BDTXP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 11"," 9"," 17"," 59"," 169"," 229"," 196"," 208"," 168"," 571"," 552"," 1282"," 1255"," 1308"," 1747"," 1619"," 2091"," 1855"," 1657"," 1786"," 2031"," 2509"
"2023F","NY","BDXUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 5499"," 6380"," 8460"
"2023F","NY","BDXUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1026"," 1191"," 1579"
"2023F","NY","BFLCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 237"," 4825"," 2749"," 5699"," 6976"," 6974"," 8454"," 7827"," 7748"," 8472"," 8204"," 7356"," 7792"," 3867"," 3024"," 2999"," 3043"
"2023F","NY","BFTCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 287"," 711"," 2269"," 1913"," 1843"," 1368"," 1182"," 1307"," 407"," 388"," 1952"," 24453"," 8367"," 21910"," 27873"," 40440"," 45483"," 53354"," 54278"," 53775"," 59596"," 60134"," 59457"," 64478"," 64830"," 67515"," 66258"," 53106"," 57462"," 58117"," 61618"
"2023F","NY","BMCAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 78.7"," 71.1"," 69.2"," 67.1"," 69.6"," 65.7"," 69.6"," 65"," 66.2"," 73.1"," 69.8"," 68.9"," 73.6"," 70.9"," 71.5"," 64.8"
"2023F","NY","BMTCB"," 59263"," 57453"," 57324"," 57158"," 56954"," 58111"," 58726"," 57118"," 60128"," 61503"," 62607"," 60153"," 59513"," 59618"," 62124"," 60171"," 69291"," 74209"," 84713"," 94177"," 129655"," 143253"," 130211"," 158213"," 129571"," 131497"," 118753"," 110609"," 116471"," 119813"," 97387"," 95097"," 104515"," 117581"," 122702"," 124868"," 141121"," 179526"," 160398"," 166341"," 175442"," 111533"," 107779"," 112121"," 140667"," 113604"," 121102"," 131295"," 149777"," 114443"," 128212"," 132549"," 128771"," 141769"," 145682"," 159788"," 158573"," 159814"," 165895"," 161674"," 131325"," 135921"," 140237"," 135868"
